CAS_Number,SMILES,pLD50,"LD50,mg/kg"
60-35-5,CC(N)=O,0.77135,9994.8
358-21-4,FC(F)(F)C(F)(F)OC(F)(F)C(F)(F)F,0.94248,28995
58-86-6,O=CC(O)C(O)C(O)CO,1.12339,11294.2
61-82-5,Nc1nnc[nH]1,1.22573,4997.7
79-16-3,CNC(C)=O,1.2602,4012.7
50-99-7,O=CC(O)C(O)C(O)C(O)CO,1.30141,8995.4
88116-55-6,CC(=O)N(C)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I,1.32533,35973
453-20-3,OC1CCOC1,1.35954,3847.7
64-17-5,CCO,1.36828,1971.84
70-29-1,CCS(=O)CC,1.3856,4364
74411-74-8,CC(=O)N(CC(O)CO)c1c(I)c(C(=O)NCCO)c(I)c(C(=O)NCCO)c1I,1.40452,29977
60-32-2,NCCCCCC(=O)O,1.42765,4897
67292-84-6,CC(=O)Nc1c(I)c(C(N)=O)c(I)c(C(=O)O)c1I,1.45173,21195.3
16485-10-2,CC(C)(CO)C(O)C(=O)NCCCO,1.46719,6995.8
1225-20-3,CNC(=O)c1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,1.50481,19195.5
423-55-2,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Br,1.53016,14688.5
59227-89-3,CCCCCCCCCCCCN1CCCCCC1=O,1.54636,7994
440-58-4,CC(=O)NCc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,1.55987,17295.7
56-12-2,NCCCC(=O)O,1.57433,2746.46
78649-41-9,CN(C(=O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I,1.596,19694
56238-63-2,CO/N=C(/C(=O)NC1C(=O)N2C(C(=O)O)=C(COC(N)=O)CSC12)c1ccco1,1.61073,10392.1
99-05-8,Nc1cccc(C(=O)O)c1,1.62261,3267.8
73240-14-9,CC(=O)N(O)CC(O)CP(=O)(O)O,1.62967,4998
88116-63-6,CC(=O)N(CCO)c1c(I)c(C(=O)N(CCO)CCO)c(I)c(C(=O)N(CCO)CCO)c1I,1.6581,17994
68095-04-5,O=C1CN(/N=C/c2ccc(-c3ccc(Cl)c(Cl)c3)o2)C(=O)N1,1.68401,6976.2
14663-26-4,O=C1CN(/N=C/c2ccc(-c3ccc(Cl)cc3)o2)C(=O)N1,1.7043,5986.9
88116-61-4,CC(=O)N(CCO)c1c(I)c(C(=O)NCCOCCO)c(I)c(C(=O)NCCOCCO)c1I,1.70925,15994.8
28002-18-8,CC1(C)SC2C(NC(=O)C(c3ccccc3)S(=O)(=O)O)C(=O)N2C1C(=O)O,1.71986,7892.3
5547-29-5,O=C(Cc1cccs1)NC1C(=O)N2C(C(=O)O)=C(CO)CSC12,1.72996,6593
129-57-7,CCC(=O)Nc1c(I)c(NC(=O)CC)c(I)c(C(=O)O)c1I,1.73563,11797
